district_id,district_name,area_total,rooms,floor,total_floors,is_top_floor,is_ground_floor,floor_ratio,area_per_room,building_type,repair_status,has_elevator,has_parking,has_balcony,price_usd,price_per_sqm,source,url
1,Мирзо-Улугбекский район,37.0,1,12,12,1,0,1.0,37.0,new,needs_repair,1,0,1,74999,2027.0,olx.uz,https://www.olx.uz/d/obyavlenie/1-komnatnaya-oz-mahal-pod-svoy-remont-ID4nGc3.html
1,Мирзо-Улугбекский район,50.0,2,10,25,0,0,0.4,25.0,monolith,euro,1,0,1,117900,2358.0,olx.uz,https://www.olx.uz/d/obyavlenie/akay-siti-50m2-tsentr-goroda-metro-hamid-alimzhan-2-10-25-evro-remont-ID4ojHt.html
0,Юнусабадский район,55.0,2,4,4,1,0,1.0,27.5,panel,average,0,0,1,79000,1436.4,olx.uz,https://www.olx.uz/d/obyavlenie/ts6-2-4-4-sred-rem-ID4nYwS.html
1,Мирзо-Улугбекский район,60.0,3,6,9,0,0,0.6667,20.0,brick,euro,1,0,1,101999,1700.0,olx.uz,https://www.olx.uz/d/obyavlenie/3-kom-parkentskiy-novostroyka-ID4mUoF.html
10,Сергелийский район,88.0,1,1,4,0,1,0.25,88.0,panel,average,0,0,1,52700,598.9,olx.uz,https://www.olx.uz/d/obyavlenie/sergeli-stroitelnyy-novostroyka-1-3-3-44-44-kv-m2-ID4ntlV.html
0,Юнусабадский район,38.0,1,3,4,0,0,0.75,38.0,panel,average,0,0,1,56000,1473.7,olx.uz,https://www.olx.uz/d/obyavlenie/yunus-obod-15-kvartl-1-honali-3-etazh-ID4oklx.html
5,Чиланзарский район,48.0,2,1,4,0,1,0.25,24.0,panel,euro,0,0,1,80500,1677.1,olx.uz,https://www.olx.uz/d/obyavlenie/chilanzar-2-kv-2-3-1-4-48m2-srochno-prodam-kvartiru-srochno-ID4nYwL.html
3,Мирабадский район,50.0,2,5,16,0,0,0.3125,25.0,new,euro,1,0,1,119000,2380.0,olx.uz,https://www.olx.uz/d/obyavlenie/ozmakon-2-komnatnaya-alfraganus-50-m-ID4oFTV.html
1,Мирзо-Улугбекский район,33.0,1,8,9,0,0,0.8889,33.0,brick,euro,1,0,1,65000,1969.7,olx.uz,https://www.olx.uz/d/obyavlenie/parkent-plaza-1-xonali-parkent-kochasi-33-m2-ID4nGbN.html
2,Яккасарайский район,47.0,2,21,24,0,0,0.875,23.5,monolith,euro,1,0,1,179000,3808.5,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-2h-kvartira-v-zhk-modera-towers-yakkasarayskiy-rayon-ID4nGbE.html
1,Мирзо-Улугбекский район,60.0,2,2,4,0,0,0.5,30.0,panel,euro,0,0,1,149000,2483.3,olx.uz,https://www.olx.uz/d/obyavlenie/ts-1-2-h-komn-2-4-posolstvo-anglii-tsvetochnyy-magazin-fazo-ID4oFTR.html
2,Яккасарайский район,54.0,2,3,4,0,0,0.75,27.0,panel,euro,0,0,1,100000,1851.9,olx.uz,https://www.olx.uz/d/obyavlenie/tsentrsale-vysokopotolochka-avtorskiy-proekt-2-3-4-54m2-ul-babura-ID4nGby.html
1,Мирзо-Улугбекский район,64.0,2,3,4,0,0,0.75,32.0,panel,average,0,0,1,115000,1796.9,olx.uz,https://www.olx.uz/d/obyavlenie/novomoskovskaya-77-seriya-2-komnaty-ID4ojGX.html
0,Юнусабадский район,30.0,1,9,16,0,0,0.5625,30.0,new,without_repair,1,0,1,67200,2240.0,olx.uz,https://www.olx.uz/d/obyavlenie/zh-k-imperial-club-city-1hona-9-16-studiya-30m2-korasuvok-or-r-oloy-ID4nGbq.html
1,Мирзо-Улугбекский район,80.0,3,3,4,0,0,0.75,26.67,panel,euro,0,0,1,117000,1462.5,olx.uz,https://www.olx.uz/d/obyavlenie/prodam-3h-kom-parkenskiy-igrushki-magazin-pasporonyy-stol-ID4kXRX.html
0,Юнусабадский район,64.0,2,2,9,0,0,0.2222,32.0,brick,average,1,0,1,73000,1140.6,olx.uz,https://www.olx.uz/d/obyavlenie/yunusabad-2-2-9-orientir-universam-ID3RVpE.html
10,Сергелийский район,45.0,2,7,9,0,0,0.7778,22.5,brick,average,1,0,1,33500,744.4,olx.uz,https://www.olx.uz/d/obyavlenie/svoya-prodaetsya-2-7-9-kuylyuk-6-byvshaya-obschezhitie-bez-remonta-lift-novyy-ID4lJlA.html
6,Алмазарский район,56.0,1,5,7,0,0,0.7143,56.0,brick,euro,1,0,1,43500,776.8,olx.uz,https://www.olx.uz/d/obyavlenie/b-r-r-rayon-olmozor-mlzhal-zamona-toyhonakcha-bitonkahonalar-son-ID4m6uw.html
3,Мирабадский район,48.5,2,9,16,0,0,0.5625,24.25,new,without_repair,1,0,1,73000,1505.2,olx.uz,https://www.olx.uz/d/obyavlenie/2-komnaty-nrg-meros-mirabadskiy-rayon-green-wich-orientir-ID4lFn2.html
